ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 8;BSM_original_nocompil;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.24500000476837;0.24500001966953;7.4018020629883;1.00;1.00;2.00;1.54;2;0.00;50.00;6.17;6.17;6.17;3.08;4.00
Loop 4;BSM_original_nocompil;;double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&);Single;0.11499997973442;0.11499997973442;3.4743144512177;1.30;1.29;2.44;1.50;1;0.00;45.54;4.13;3.17;3.19;1.69;2.75
Loop 9;BSM_original_nocompil;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.10999999940395;0.10999999195337;3.3232576847076;1.00;1.00;2.00;1.54;2;0.00;50.00;6.17;6.17;6.17;3.08;4.00
Loop 7;BSM_original_nocompil;;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);Single;0.099999986588955;0.099999986588955;3.0211429595947;1.17;1.31;1.00;3.11;1;8.33;54.17;3.50;3.00;2.67;3.50;1.13
Loop 0;BSM_original_nocompil;;black_scholes_monte_carlo(unsigned long, unsigned long, double, double, double, double, unsigned long);Single;0.08500000089407;0.084999993443489;2.567971944809;1.14;1.11;2.00;2.97;1;0.00;50.00;8.17;7.17;7.33;4.08;2.75
