group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;LDR,;0,;0x402810,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x4027f0,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402a50,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402a30,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x40299c,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402980,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402898,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x40287c,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402778,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x40294c,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x40292c,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402858,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402828,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402748,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402a0c,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x4029f0,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x4029c4,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x402908,;Not found;0;Success;8;8;0;8;0;1;
1;L;LDR,;0,;0x4028ec,;Not found;0;Success;8;8;0;8;0;1;
52;LSLSLSLSLLSLLLLSLLLLSLLLLLLSLLLLLLSLLLLLSLLLLLLSLLLL;LDR,STR,LDR,STR,LDR,STR,LDR,STR,LDR,LDRSW,STR,LDR,LDRSW,LDR,LDR,STR,LDRSW,LDRSW,LDRSW,LDR,STR,LDRSW,LDRSW,LDRSW,LDR,LDRSW,LDR,STR,LDRSW,LDRSW,LDR,LDRSW,LDRSW,LDR,STR,LDRSW,LDRSW,LDR,LDRSW,LDR,STR,LDRSW,LDRSW,LDR,LDRSW,LDRSW,LDR,STR,LDR,LDR,LDR,LDR,;16,40,44,68,68,64,68,68,40,68,60,60,68,68,16,56,68,68,68,56,52,68,68,68,56,68,60,88,68,68,60,68,68,52,92,68,68,56,68,60,92,68,68,60,68,68,52,88,92,88,60,52,;0x4026fc,0x402704,0x402708,0x40270c,0x402710,0x402720,0x402724,0x40272c,0x402730,0x402734,0x402754,0x402758,0x402760,0x402798,0x4027d0,0x4027d8,0x4027dc,0x4027f8,0x402814,0x402834,0x402840,0x402844,0x40296c,0x402984,0x4029a8,0x4029b0,0x4029cc,0x4029d8,0x4029dc,0x4029f8,0x402a14,0x402a1c,0x402a3c,0x402a60,0x402a68,0x402868,0x402880,0x4028a4,0x4028ac,0x4028c8,0x4028d4,0x4028d8,0x4028f4,0x402910,0x402918,0x402938,0x40295c,0x402964,0x402a6c,0x402a78,0x402a84,0x402a90,;Success;0;Success;220;44;176;80;0;1;
1;L;LDR,;0,;0x4028c0,;Not found;0;Success;8;8;0;8;0;1;
