group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;LDR,;0,;0x402c88,;Success;3456;Success;4;4;0;4;0;1;
5;SLLSL;STR,LDR,LDR,STR,LDR,;60,32,60,56,56,;0x402c8c,0x402c90,0x402ca8,0x402cb0,0x402cb4,;Success;0;Success;24;16;8;32;0;1;
