module;src_file;score;issue;opts;
BSM-MPI+BOOST_compil;;0;"-g is missing for some functions (possibly ones added by the compiler), it is needed to have more accurate reports. Other recommended flags are: -O2/-O3, -march=(target)";" ";
BSM-MPI+BOOST_compil;;;"-O2, -O3 or -Ofast is missing. ";"";
BSM-MPI+BOOST_compil;;;"-mcpu=native is missing.";"";
