block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
301;BSM-MPI+BOOST_nocompil;;14.46356678009;142.66485595703;142.66484069824;142.66484069824;142.66484069824;0;0;1;;
221;BSM-MPI+BOOST_nocompil;;12.907872200012;127.31988525391;127.31988525391;127.31988525391;127.31988525391;0;0;1;;
303;BSM-MPI+BOOST_nocompil;;4.2022581100464;41.449981689453;41.449981689453;41.449981689453;41.449981689453;0;0;1;;
284;BSM-MPI+BOOST_nocompil;;3.732351064682;36.81494140625;36.814937591553;36.814937591553;36.814937591553;0;0;1;;
223;BSM-MPI+BOOST_nocompil;;3.4271981716156;33.804988861084;33.804988861084;33.804988861084;33.804988861084;0;0;1;;
209;BSM-MPI+BOOST_nocompil;;3.0769250392914;30.349988937378;30.349988937378;30.349988937378;30.349988937378;0;0;1;;
64;BSM-MPI+BOOST_nocompil;;2.3378536701202;23.059978485107;23.059980392456;23.059980392456;23.059980392456;0;0;1;;
314;BSM-MPI+BOOST_nocompil;;2.0935258865356;20.649995803833;20.649993896484;20.649993896484;20.649993896484;0;0;1;;
65;BSM-MPI+BOOST_nocompil;;1.968827009201;19.419998168945;19.419998168945;19.419998168945;19.419998168945;0;0;1;;
347;BSM-MPI+BOOST_nocompil;;1.9394237995148;19.129970550537;19.129970550537;19.129970550537;19.129970550537;0;0;1;;
300;BSM-MPI+BOOST_nocompil;;1.9090123176575;18.829999923706;18.829999923706;18.829999923706;18.829999923706;0;0;1;;
320;BSM-MPI+BOOST_nocompil;;1.5866193771362;15.650000572205;15.64999961853;15.64999961853;15.64999961853;0;0;1;;
212;BSM-MPI+BOOST_nocompil;;1.4162985086441;13.969999313354;13.970000267029;13.970000267029;13.970000267029;0;0;1;;
309;BSM-MPI+BOOST_nocompil;;1.4061615467072;13.870011329651;13.870011329651;13.870011329651;13.870011329651;0;0;1;;
211;BSM-MPI+BOOST_nocompil;;1.3823356628418;13.634999275208;13.634999275208;13.634999275208;13.634999275208;0;0;1;;
341;BSM-MPI+BOOST_nocompil;;1.0584229230881;10.440008163452;10.440009117126;10.440009117126;10.440009117126;0;0;1;;
285;BSM-MPI+BOOST_nocompil;;1.054368019104;10.400011062622;10.400011062622;10.400011062622;10.400011062622;0;0;1;;
356;BSM-MPI+BOOST_nocompil;;0.94436806440353;9.3150005340576;9.3150014877319;9.3150014877319;9.3150014877319;0;0;1;;
250;BSM-MPI+BOOST_nocompil;;0.93676429986954;9.2399988174438;9.2399997711182;9.2399997711182;9.2399997711182;0;0;1;;
210;BSM-MPI+BOOST_nocompil;;0.83234143257141;8.2099990844727;8.210000038147;8.210000038147;8.210000038147;0;0;1;;
62;BSM-MPI+BOOST_nocompil;;0.81358677148819;8.0250072479248;8.0250072479248;8.0250072479248;8.0250072479248;0;0;1;;
359;BSM-MPI+BOOST_nocompil;;0.79989957809448;7.8900008201599;7.8900008201599;7.8900008201599;7.8900008201599;0;0;1;;
275;BSM-MPI+BOOST_nocompil;;0.76441603899002;7.5400004386902;7.5400004386902;7.5400004386902;7.5400004386902;0;0;1;;
317;BSM-MPI+BOOST_nocompil;;0.68179035186768;6.7250022888184;6.7250027656555;6.7250027656555;6.7250027656555;0;0;1;;
63;BSM-MPI+BOOST_nocompil;;0.62248206138611;6.1400008201599;6.1400008201599;6.1400008201599;6.1400008201599;0;0;1;;
358;BSM-MPI+BOOST_nocompil;;0.56165319681168;5.5400009155273;5.5400004386902;5.5400004386902;5.5400004386902;0;0;1;;
357;BSM-MPI+BOOST_nocompil;;0.54441833496094;5.3700008392334;5.3700008392334;5.3700008392334;5.3700008392334;0;0;1;;
24;BSM-MPI+BOOST_nocompil;;0.51704567670822;5.1000037193298;5.100004196167;5.100004196167;5.100004196167;0;0;1;;
306;BSM-MPI+BOOST_nocompil;;0.51653850078583;5.0950012207031;5.0950016975403;5.0950016975403;5.0950016975403;0;0;1;;
219;BSM-MPI+BOOST_nocompil;;0.48054814338684;4.7400016784668;4.740002155304;4.740002155304;4.740002155304;0;0;1;;
207;BSM-MPI+BOOST_nocompil;;0.47497206926346;4.6850008964539;4.6850004196167;4.6850004196167;4.6850004196167;0;0;1;;
287;BSM-MPI+BOOST_nocompil;;0.40299111604691;3.9749991893768;3.9749994277954;3.9749994277954;3.9749994277954;0;0;1;;
220;BSM-MPI+BOOST_nocompil;;0.4014704823494;3.9600002765656;3.960000038147;3.960000038147;3.960000038147;0;0;1;;
281;BSM-MPI+BOOST_nocompil;;0.39285308122635;3.8750007152557;3.8750007152557;3.8750007152557;3.8750007152557;0;0;1;;
25;BSM-MPI+BOOST_nocompil;;0.37815284729004;3.7300012111664;3.7300009727478;3.7300009727478;3.7300009727478;0;0;1;;
208;BSM-MPI+BOOST_nocompil;;0.37054914236069;3.6550002098083;3.6550002098083;3.6550002098083;3.6550002098083;0;0;1;;
280;BSM-MPI+BOOST_nocompil;;0.3664938211441;3.6149997711182;3.6149997711182;3.6149997711182;3.6149997711182;0;0;1;;
288;BSM-MPI+BOOST_nocompil;;0.36091789603233;3.5600001811981;3.5600001811981;3.5600001811981;3.5600001811981;0;0;1;;
360;BSM-MPI+BOOST_nocompil;;0.34317618608475;3.3850004673004;3.3850004673004;3.3850004673004;3.3850004673004;0;0;1;;
59;BSM-MPI+BOOST_nocompil;;0.33810704946518;3.3349997997284;3.335000038147;3.335000038147;3.335000038147;0;0;1;;
279;BSM-MPI+BOOST_nocompil;;0.30414429306984;3.0000002384186;3;3;3;0;0;1;;
