loop_id;module;function_name;function_id;source_info;level;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;flops;
3;BSM-MPI+BOOST_nocompil;float boost::random::detail::unit_normal_distribution<float>::operator()<boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&);37;;Single;13.856762886047;136.67950439453;;;;;;13.856762886047;136.67950439453;;;;;;;;
0;BSM-MPI+BOOST_nocompil;black_scholes_monte_carlo(unsigned long, unsigned long, float, float, float, float, unsigned long);9;;Single;6.1989598274231;61.144924163818;;;;;;6.1989598274231;61.144924163818;;;;;;;;
12;BSM-MPI+BOOST_nocompil;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();54;;Single;2.0367488861084;20.089960098267;;;;;;2.0367488861084;20.089960098267;;;;;;;;
14;BSM-MPI+BOOST_nocompil;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();54;;Single;1.1440905332565;11.285011291504;;;;;;1.1440905332565;11.285011291504;;;;;;;;
9;BSM-MPI+BOOST_nocompil;boost::make_unsigned<boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::result_type>::type boost::random::detail::generate_one_digit<boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&, unsigned long);51;;Single;0.68787336349487;6.7850036621094;;;;;;0.68787336349487;6.7850036621094;;;;;;;;
7;BSM-MPI+BOOST_nocompil;std::pair<float, int> boost::random::detail::generate_int_float_pair<float, 8ul, boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&, boost::integral_constant<bool, true>);45;;Single;0.40299111604691;3.9749991893768;;;;;;0.40299111604691;3.9749991893768;;;;;;;;
8;BSM-MPI+BOOST_nocompil;std::pair<float, int> boost::random::detail::generate_int_float_pair<float, 8ul, boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&, boost::integral_constant<bool, true>);45;;Single;0.3664938211441;3.6149997711182;;;;;;0.3664938211441;3.6149997711182;;;;;;;;
6;BSM-MPI+BOOST_nocompil;float boost::random::detail::new_uniform_01<float>::operator()<boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&);43;;Single;0.18603493273258;1.8350001573563;;;;;;0.18603493273258;1.8350001573563;;;;;;;;
13;BSM-MPI+BOOST_nocompil;boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>::twist();54;;Single;0.039538744837046;0.3899998664856;;;;;;0.039538744837046;0.3899998664856;;;;;;;;
10;BSM-MPI+BOOST_nocompil;float boost::random::detail::unit_exponential_distribution<float>::operator()<boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u> >(boost::random::mersenne_twister_engine<unsigned int, 32ul, 624ul, 397ul, 31ul, 2567483615u, 11ul, 4294967295u, 7ul, 2636928640u, 15ul, 4022730752u, 18ul, 1812433253u>&);53;;Single;0.014193397946656;0.13999998569489;;;;;;0.014193397946656;0.13999998569489;;;;;;;;
