ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 8;BSM_original_nocompil;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.23999996483326;0.23999996483326;7.2837438583374;1.00;1.00;2.00;1.54;2;0.00;50.00;6.17;6.17;6.17;3.08;4.00
Loop 9;BSM_original_nocompil;;std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand();Single;0.19999995827675;0.19999995827675;6.0697865486145;1.00;1.00;2.00;1.54;2;0.00;50.00;6.17;6.17;6.17;3.08;4.00
Loop 0;BSM_original_nocompil;;black_scholes_monte_carlo(unsigned long, unsigned long, double, double, double, double, unsigned long);Single;0.094999983906746;0.094999983906746;2.8831486701965;1.14;1.11;2.00;2.97;1;0.00;50.00;8.17;7.17;7.33;4.08;2.75
Loop 4;BSM_original_nocompil;;double std::normal_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::normal_distribution<double>::param_type const&);Single;0.084999993443489;0.084999985992908;2.5796594619751;1.30;1.29;2.44;1.50;1;0.00;45.54;4.13;3.17;3.19;1.69;2.75
Loop 7;BSM_original_nocompil;;double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&);Single;0.064999990165234;0.064999990165234;1.9726808071136;1.17;1.31;1.00;3.11;1;8.33;54.17;3.50;3.00;2.67;3.50;1.13
