Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;184345;161.56440734863;56.150892129203;165.43028259277;0;1737732832;0;0;754066;0;0;43.840081197203;32312.886158326;0;0;1737732666;0.0092842217352565;0;
ip-10-0-4-202;_ALL;_ALL;0;184345;161.56440734863;56.150892129203;165.43028259277;0;1737732832;0;0;754066;0;0;43.840081197203;32312.886158326;0;0;1737732666;0.0092842217352565;0;
ip-10-0-4-202;19067;_ALL;0;184345;161.56440734863;56.150892129203;165.43028259277;0;1737732832;0;0;754066;0;0;43.840081197203;32312.886158326;0;0;1737732666;0.0092842217352565;0;
ip-10-0-4-202;19067;19067;71.818725585938;184345;161.56440734863;56.150892129203;165.43028259277;0;1737732832;0;0;754066;0;0;43.840081197203;32312.886158326;71.818725585938;0;1737732666;0.0092842217352565;0;
